"comp","post_bugs","size","complexity","prior_changes","change_churn","prior_bugs","total","minor","major","ownership","entropy","review_rate","review_churn_rate","voters","minor_voters","major_voters","voter_ownership","self_reviews","too_quick","little_discussion","median_revspeed","mean_revspeed","median_discussion","mean_discussion","minor_wrote_no_major_revd","minor_wrote_no_owner_revd","median_voterscore","mean_voterscore","actors","minor_actors","major_actors","actor_ownership","owner_more_author","median_maxexp","mean_maxexp","median_minexp","mean_minexp","subsystem"
"qtsensors.src/sensors",47,2536,0.141561514229434,40,4149,1,11,8,3,0.5,0.970338394534119,1,1,20,12,8,1,6,9,6,90.5528585757272,619.36884329602,0.02,0.052554349414572,9,9,0.025,0.105859375,33,21,12,0.977777777777778,0,1,0.982751322751323,0.977777777777778,0.956428571428571,"qtsensors"
"qtsensors.src/sensors/doc/snippets/sensorgestures",0,86,0.174418605611141,1,301,0,1,0,1,1,1,1,1,2,0,2,1,0,0,0,60.8875677566008,60.8875677566008,0.00166112956810631,0.00166112956810631,0,0,0,0,3,0,3,1,1,1,1,0.977777777777778,0.977777777777778,"qtsensors"
"qtsensors.src/sensors/doc/snippets/sensors",0,59,0.16949152683137,1,292,0,1,0,1,1,1,1,1,2,0,2,1,0,0,0,60.8875677566008,60.8875677566008,0.00166112956810631,0.00166112956810631,0,0,0,0,6,0,6,1,0,1,1,0.977777777777778,0.969312169312169,"qtsensors"
"qtsensors.src/sensors/gestures",1,517,0.162475822212287,29,1243,1,11,7,4,0.344827586206897,0.972579880624111,1,1,16,10,6,1,4,8,7,60.8875677566008,470.494509434192,0.0185185185185185,0.0744195466104883,4,5,0.241379310344828,0.194827586206897,26,18,8,1,0,1,1,1,0.977037037037037,"qtsensors"
"qtserialport.examples/serialport/blockingmaster",5,237,0.109704641725863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,1,"qtserialport"
"qtserialport.examples/serialport/blockingslave",5,232,0.11206896589997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,1,"qtserialport"
"qtserialport.examples/serialport/cenumerator",1,19,0.210526319944598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,1,"qtserialport"
"qtserialport.examples/serialport/enumerator",1,22,0.18181818553719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtserialport"
"qtserialport.examples/serialport/master",3,149,0.100671141543174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,1,"qtserialport"
"qtserialport.examples/serialport/slave",5,269,0.12639405236937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,1,"qtserialport"
"qtserialport.examples/serialport/terminal",7,349,0.117478510281525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,1,1,1,1,"qtserialport"
"qtserialport.src/serialport",67,3922,0.201682814910717,9,7853,4,4,0,4,0.666666666666667,0.990675147651849,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0.0246913580246914,24,17,7,1,0,1,1,1,1,"qtserialport"
"qtserialport.src/serialport/qt4support",2,337,0.225519288063644,1,545,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,101.886544342508,101.886544342508,0.0018348623853211,0.0018348623853211,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtserialport"
"qtsvg.examples/svg/draganddrop/delayedencoding",0,101,0.0792079217037545,1,364,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,2.96384083044983,2.96384083044983,0.000173010380622837,0.000173010380622837,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/embedded/desktopservices",0,185,0.145945946407597,1,635,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,2.96384083044983,2.96384083044983,0.000173010380622837,0.000173010380622837,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/embedded/fluidlauncher",0,1444,0.163434903105025,1,2575,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,2.96384083044983,2.96384083044983,0.000173010380622837,0.000173010380622837,0,0,0,0,9,0,9,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/embedded/weatherinfo",0,386,0.150259067577653,1,498,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,2.96384083044983,2.96384083044983,0.000173010380622837,0.000173010380622837,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/embeddedsvgviewer",0,136,0.10294117713019,1,339,0,1,0,1,1,1,1,1,4,0,4,1,0,0,0,42.814155753274,42.814155753274,0.000699790062981106,0.000699790062981106,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/network/bearercloud",0,439,0.175398633445239,1,847,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,2.96384083044983,2.96384083044983,0.000173010380622837,0.000173010380622837,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/opengl/framebufferobject",0,272,0.117647059147924,1,472,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,2.96384083044983,2.96384083044983,0.000173010380622837,0.000173010380622837,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/richtext/textobject",0,114,0.096491228862727,1,389,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,2.96384083044983,2.96384083044983,0.000173010380622837,0.000173010380622837,0,0,0,0,7,0,7,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/svggenerator",0,169,0.124260355547775,1,443,0,1,0,1,1,1,1,1,4,0,4,1,0,0,0,42.814155753274,42.814155753274,0.000699790062981106,0.000699790062981106,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtsvg"
"qtsvg.examples/svg/svgviewer",0,256,0.121093750343323,1,576,0,1,0,1,1,1,1,1,4,0,4,1,0,0,0,42.814155753274,42.814155753274,0.000699790062981106,0.000699790062981106,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtsvg"
"qtsvg.src/plugins/iconengines/svgiconengine",1,289,0.214532872244106,7,186,0,4,0,4,0.428571428571429,1,1,1,7,0,7,1,1,3,4,21.5809523809524,202.157604466633,0.015625,0.0966650233713117,0,0,0,0,15,0,15,1,0,1,1,1,1,"qtsvg"
"qtsvg.src/plugins/imageformats/svg",0,235,0.208510638634676,5,170,0,3,0,3,0.6,1,1,1,5,0,5,1,1,3,4,16.578125,260.204455777096,0.015625,0.0219976993865031,0,0,0,0,9,0,9,1,0,1,1,1,1,"qtsvg"
"qtsvg.src/svg",35,7795,0.207697241831845,14,1763,1,10,0,10,0.214285714285714,0.985883144125538,1,1,14,0,14,1,2,3,5,54.375,6904.41007785641,0.015625,0.102190514791069,3,3,0,0.00420168067226891,37,19,18,1,0,1,1,1,1,"qtsvg"
"qtsvg.src/svg/doc/snippets",0,7,0,2,94,0,2,0,2,0.5,1,1,1,5,0,5,1,0,0,0,42.814155753274,42.814155753274,0.000699790062981106,0.000699790062981106,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtsvg"
"qttools.examples/assistant/remotecontrol",0,135,0.16296296358299,2,309,2,2,0,2,0.5,0,1,1,4,0,4,1,0,0,0,24.0154566744731,24.0154566744731,0.0516393442622951,0.0516393442622951,0,0,0,0,13,0,13,1,0,1,1,1,0.977777777777778,"qttools"
"qttools.examples/assistant/simpletextviewer",0,362,0.11878453063017,2,908,1,1,0,1,1,1,1,1,3,0,3,1,0,1,1,61.0936578171091,61.0936578171091,0.125553097345133,0.125553097345133,0,0,0,0,11,0,11,1,0,1,1,1,0.972222222222222,"qttools"
"qttools.examples/designer/arthurplugin",0,203,0.201970443742872,8,62,0,6,0,6,0.375,1,1,1,8,0,8,1,2,4,4,30.1985486431356,128.247163867308,0.00221715156301323,0.0899808758246914,1,1,0.125,0.0681818181818182,16,0,16,1,0,1,1,1,0.953703703703704,"qttools"
"qttools.examples/designer/calculatorbuilder",0,50,0.1000000018,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,0,3,2,12.4228443270814,17.4870346858185,0.000551509933259393,0.000422830817892225,1,1,0,0,10,0,10,1,0,1,1,0.888888888888889,0.907407407407407,"qttools"
"qttools.examples/designer/calculatorform",0,31,0.129032260874089,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,3,2,12.4228443270814,17.4870346858185,0.000551509933259393,0.000422830817892225,0,0,0,0,9,0,9,1,0,1,1,0.888888888888889,0.888888888888889,"qttools"
"qttools.examples/designer/containerextension",0,299,0.160535117337614,6,151,1,4,0,4,0.5,1,1,1,6,0,6,1,0,3,3,30.1985486431356,35.9429437587996,0.000563698574420922,0.0264723634024043,0,0,0,0,12,0,12,1,0,1,1,0.888888888888889,0.920634920634921,"qttools"
"qttools.examples/designer/customwidgetplugin",0,150,0.120000000586667,5,78,0,3,0,3,0.6,1,1,1,5,0,5,1,1,3,2,15.6502879769618,23.1124848915119,0.000563063063063063,0.00319540751145664,0,0,0,0,10,0,10,1,0,1,1,0.888888888888889,0.907407407407407,"qttools"
"qttools.examples/designer/taskmenuextension",0,341,0.161290322826601,6,151,1,4,0,4,0.5,1,1,1,6,0,6,1,1,3,3,30.1985486431356,35.9429437587996,0.000563698574420922,0.0264723634024043,0,0,0,0,12,0,12,1,0,1,1,0.888888888888889,0.930555555555556,"qttools"
"qttools.examples/designer/worldtimeclockbuilder",0,12,0.0833333409722222,4,18,0,2,0,2,0.75,1,1,1,5,0,5,1,1,3,2,12.4228443270814,17.4870346858185,0.000551509933259393,0.000422830817892225,1,1,0,0,10,0,10,1,0,1,1,0.888888888888889,0.907407407407407,"qttools"
"qttools.examples/designer/worldtimeclockplugin",0,159,0.119496855899688,6,79,0,4,0,4,0.5,0.982597413225085,1,1,6,0,6,1,1,3,3,30.1985486431356,145.982626298482,0.000563698574420922,0.0859961729262139,0,0,0,0,12,0,12,1,0,1,1,0.888888888888889,0.920634920634921,"qttools"
"qttools.examples/help/contextsensitivehelp",0,83,0.144578314283641,4,90,0,2,0,2,0.75,1,1,1,5,0,5,1,0,3,2,12.4228443270814,17.4870346858185,0.000551509933259393,0.000422830817892225,0,0,0,0,9,0,9,1,0,1,1,0.888888888888889,0.888888888888889,"qttools"
"qttools.examples/linguist/arrowpad",0,64,0.0625000014648438,1,324,0,1,0,1,1,1,1,1,2,0,2,1,1,1,0,10.3626491281738,10.3626491281738,0.00107066381156317,0.00107066381156317,0,0,0,0,8,0,8,1,0,1,1,0.944444444444444,0.944444444444444,"qttools"
"qttools.examples/linguist/doc/snippets",0,5,0,1,120,0,1,0,1,1,1,1,1,3,0,3,1,0,1,0,2.40595238095238,2.40595238095238,0.00833333333333333,0.00833333333333333,0,0,0,0,8,0,8,1,0,1,1,0.944444444444444,0.944444444444444,"qttools"
"qttools.examples/linguist/hellotr",0,11,0.0909090991735537,1,70,0,1,0,1,1,1,1,1,2,0,2,1,0,1,0,10.3626491281738,10.3626491281738,0.00107066381156317,0.00107066381156317,0,0,0,0,8,0,8,1,0,1,1,0.944444444444444,0.944444444444444,"qttools"
"qttools.examples/linguist/trollprint",0,108,0.064814815680727,1,383,0,1,0,1,1,1,1,1,2,0,2,1,0,1,0,10.3626491281738,10.3626491281738,0.00107066381156317,0.00107066381156317,0,0,0,0,8,0,8,1,0,1,1,0.944444444444444,0.944444444444444,"qttools"
"qttools.examples/uitools/multipleinheritance",0,29,0.13793103745541,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,0,3,2,12.4228443270814,17.4870346858185,0.000551509933259393,0.000422830817892225,1,1,0,0,9,0,9,1,0,1,1,0.888888888888889,0.907407407407407,"qttools"
"qttools.examples/uitools/textfinder",0,97,0.113402062769689,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,3,2,12.4228443270814,17.4870346858185,0.000551509933259393,0.000422830817892225,1,1,0,0,9,0,9,1,0,1,1,0.888888888888889,0.907407407407407,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene",0,80,0.27500000090625,2,14,0,2,0,2,0.5,0.97411089529882,1,1,3,0,3,1,0,0,0,592.471857244318,592.471857244318,0.06640625,0.06640625,1,1,0,0,8,0,8,1,0,1,1,1,0.972222222222222,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/analysis",0,649,0.281972265133749,1,2,0,1,0,1,1,1,1,1,2,0,2,1,0,0,0,66.330078125,66.330078125,0.0078125,0.0078125,1,1,0,0,6,0,6,1,0,1,1,1,0.962962962962963,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/analysis/standard",0,388,0.224226804323653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,1,1,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/config",1,11797,0.0138170721453436,1,8,0,1,0,1,1,1,1,1,2,0,2,1,0,0,0,66.330078125,66.330078125,0.0078125,0.0078125,1,1,0,0,7,0,7,1,0,1,1,1,0.972222222222222,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/debug",0,127,0.299212598976998,1,4,1,1,0,1,1,0,1,1,4,0,4,1,0,1,1,12.8939393939394,12.8939393939394,0.0454545454545455,0.0454545454545455,1,1,0,0,6,0,6,1,0,1,1,1,1,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/document",0,531,0.267419962473179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,1,1,1,1,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/index",0,6570,0.254490106556248,1,66,0,1,0,1,1,1,1,1,2,0,2,1,0,0,0,66.330078125,66.330078125,0.0078125,0.0078125,1,1,0,0,6,0,6,1,0,1,1,1,0.962962962962963,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/queryParser",0,1206,0.270315091271118,2,10,1,2,0,2,0.5,1,1,1,3,0,3,1,1,0,0,137.2900390625,137.2900390625,0.25390625,0.25390625,1,1,0,0,8,0,8,1,0,1,1,1,0.972222222222222,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/search",0,5876,0.263955071489722,1,6,0,1,0,1,1,1,1,1,2,0,2,1,0,0,0,66.330078125,66.330078125,0.0078125,0.0078125,1,1,0,0,6,0,6,1,0,1,1,1,0.962962962962963,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/store",0,1683,0.202020202067616,2,20,0,2,0,2,0.5,1,1,1,3,0,3,1,0,0,0,67.7275390625,67.7275390625,0.25390625,0.25390625,1,1,0,0,8,0,8,1,0,1,1,1,0.972222222222222,"qttools"
"qttools.src/assistant/3rdparty/clucene/src/CLucene/util",0,2454,0.207416462949983,2,34,1,2,0,2,0.5,1,1,1,5,0,5,1,0,1,1,39.6120087594697,39.6120087594697,0.0266335227272727,0.0266335227272727,1,1,0,0,10,0,10,1,0,1,1,1,0.972222222222222,"qttools"
"qttools.src/assistant/assistant",3,8508,0.165843911622404,24,3873,3,17,13,4,0.125,0.974181807104328,1,1,25,12,13,1,2,7,3,44.1359046546547,424.826137794317,0.0353598014888337,0.0899530266723166,21,21,0.0208333333333333,0.0257352941176471,39,22,17,1,0,1,1,1,0.987654320987654,"qttools"
"qttools.src/assistant/assistant/doc/snippets/simpletextviewer",0,239,0.142259414584829,1,476,0,1,0,1,1,1,1,1,5,0,5,1,0,0,0,144.961834733894,144.961834733894,0.00210084033613445,0.00210084033613445,0,0,0,0,11,0,11,1,0,1,1,0.944444444444444,0.944444444444444,"qttools"
"qttools.src/assistant/clucene",1,2544,0.163522012611497,6,248,0,4,0,4,0.5,0.986639422769451,1,1,7,0,7,1,1,1,2,77.0169270833333,11769.4080560471,0.13125,0.128775890236473,1,1,0,0.0714285714285714,16,0,16,1,0,1,1,1,0.97979797979798,"qttools"
"qttools.src/assistant/help",4,6698,0.161391460149875,17,2319,1,12,0,12,0.176470588235294,0.98543480538656,1,1,17,0,17,1,1,5,4,88.6482198142415,7526.13760135604,0.0909090909090909,0.118919502619022,1,1,0,0.0280112044817927,29,12,17,1,0,1,1,1,0.981481481481482,"qttools"
"qttools.src/assistant/help/doc/snippets",0,9,0,1,63,0,1,0,1,1,1,1,1,3,0,3,1,0,0,0,568.351473922903,568.351473922903,0.0158730158730159,0.0158730158730159,0,0,0,0,9,0,9,1,0,1,1,0.944444444444444,0.944444444444444,"qttools"
"qttools.src/assistant/qcollectiongenerator",1,500,0.2660000001468,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,3,2,12.4228443270814,17.4870346858185,0.000551509933259393,0.000422830817892225,1,1,0,0,12,0,12,1,0,1,1,0.888888888888889,0.920634920634921,"qttools"
"qttools.src/assistant/qhelpconverter",0,1201,0.13905079107918,5,1464,0,3,0,3,0.6,1,1,1,7,0,7,1,1,3,2,15.6502879769618,31.7192717115031,0.000563063063063063,0.00111225846236332,1,1,0,0,12,0,12,1,0,1,1,0.888888888888889,0.938271604938272,"qttools"
"qttools.src/assistant/qhelpgenerator",0,112,0.196428572146046,5,57,0,3,0,3,0.6,1,1,1,7,0,7,1,0,3,2,15.6502879769618,18.0396277486548,0.000563063063063063,0.0670049313209804,2,2,0,0,16,0,16,1,0,1,1,0.888888888888889,0.930555555555556,"qttools"
"qttools.src/assistant/shared",0,350,0.137142857389388,5,212,0,3,0,3,0.6,0.984358127928518,1,1,7,0,7,1,0,3,2,15.6502879769618,28.4130652486548,0.000563063063063063,0.00283826465431378,1,1,0,0,11,0,11,1,0,1,1,0.888888888888889,0.930555555555556,"qttools"
"qttools.src/designer/src/components/buddyeditor",0,525,0.167619047777596,5,437,0,3,0,3,0.6,1,1,1,5,0,5,1,1,3,2,15.6502879769618,23.1124848915119,0.000563063063063063,0.00319540751145664,0,0,0,0,10,0,10,1,0,1,1,0.888888888888889,0.920634920634921,"qttools"
